brand,name,cpu_brand,cpu,cpu_cores,cpu_threads,memory,storage,gpu_brand,gpu,price,rating,review_count,source,crawl_date
ultimus,Ultimus Elite NU14U3INF56BN-CS Laptop (10th Gen Core i5 / 8GB/ 512GB SSD/ Win11 Home),intel,core i5,4,8,8,512,intel,integrated,240.84337349397592,54,0,sohaibdevv,2026-09-05
hp,HP Pavilion 15-eg3081TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),intel,core i5,12,16,16,512,intel,integrated,867.4578313253012,66,0,sohaibdevv,2026-09-05
msi,MSI GF63 Thin 11UC-1294IN Gaming Laptop (11th Gen Core i7/ 16GB/ 1TB 256GB SSD/ Win11/ 4GB Graph),intel,core i7,8,16,16,1024,nvidia,dedicated,804.5783132530121,76,0,sohaibdevv,2026-09-05
samsung,Samsung Galaxy Book2 NP550XED-KA1IN 15 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),intel,core i5,10,12,8,512,intel,integrated,542.0481927710844,59,0,sohaibdevv,2026-09-05
samsung,Samsung Galaxy Book2 NP550XED-KA2IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),intel,core i5,10,12,16,512,intel,integrated,578.1927710843373,62,0,sohaibdevv,2026-09-05
lenovo,Lenovo IdeaPad Gaming 3 15IHU6 82K101GSIN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),intel,core i5,4,8,8,512,nvidia,dedicated,578.1927710843373,71,0,sohaibdevv,2026-09-05
asus,Asus Vivobook 16X 2022 M1603QA-MB502WS Laptop (Ryzen 5-5600H/ 8GB/ 512GB SSD/ Win11 Home),amd,ryzen 5,6,12,8,512,amd,integrated,566.144578313253,65,0,sohaibdevv,2026-09-05
apple,Apple MacBook Air 2022 Laptop (Apple M2/ 8GB/ 256GB SSD/ MacOS),apple,m2,8,8,8,256,apple,apple,1240.8433734939758,48,0,sohaibdevv,2026-09-05
dell,Dell G15-5520 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),intel,core i5,12,16,16,512,nvidia,dedicated,822.156626506024,66,0,sohaibdevv,2026-09-05
acer,Acer Aspire Lite AL15-52 15 Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win11),intel,core i5,10,12,16,1024,intel,integrated,566.144578313253,64,0,sohaibdevv,2026-09-05
acer,Acer Aspire Lite 15 AL15-52 Laptop (12th Gen Core i3/ 16GB/ 512GB SSD/ Win11),intel,core i3,6,8,16,512,intel,integrated,421.56626506024094,60,0,sohaibdevv,2026-09-05
